Team,Season,player_season_gp,player_season_minutes,player_season_pts,player_season_dreb,player_season_oreb,player_season_reb,player_season_asts,player_season_stl,player_season_blk,player_season_turnover,player_season_pf,player_season_fga,player_season_fgm,player_season_fta,player_season_ftm,player_season_tpa,player_season_tpm,player_career_gp,player_career_minutes,player_career_pts,player_career_dreb,player_career_oreb,player_career_reb,player_career_asts,player_career_stl,player_career_blk,player_career_turnover,player_career_pf,player_career_fga,player_career_fgm,player_career_fta,player_career_ftm,player_career_tpa,player_career_tpm
DAL,1990,40,1168,536,61,141,203,139,41,19,69,85,448,214,122,96,32,10,596,16766,7624,889,1976,2865,1974,561,376,1058,1357,6240,3042,1813,1412,386,126
DAL,1991,50,1374,551,68,166,234,150,45,23,79,118,459,218,134,101,39,12,514,13723,5535,681,1625,2306,1589,461,289,830,1162,4563,2180,1383,1052,366,121
DAL,1992,43,990,404,59,113,173,100,35,12,61,108,349,154,113,81,44,15,297,6922,2734,319,695,1015,734,243,93,441,672,2354,1045,668,499,402,144
DAL,1993,42,963,398,67,119,186,77,29,17,63,108,355,157,107,75,28,8,529,12567,5041,665,1420,2086,1285,456,166,758,1173,4408,1957,1219,914,607,211
DAL,1994,46,1028,407,65,116,181,95,35,13,75,108,374,162,95,70,41,12,502,12464,4906,666,1558,2225,1430,439,150,815,1069,4358,1856,1142,872,921,320
DAL,1995,57,1327,547,96,146,242,124,39,17,90,123,473,208,147,108,71,22,496,11727,4498,621,1427,2048,1292,390,139,738,1022,3955,1686,1096,828,856,298
DAL,1996,43,1169,497,66,128,195,124,38,21,81,106,403,182,139,101,91,31,508,13017,5365,629,1554,2183,1459,455,247,863,1145,4497,2018,1393,1055,791,272
DAL,1997,35,907,360,47,99,147,68,27,11,50,72,294,133,87,66,75,26,467,11233,4463,604,1457,2062,844,342,254,612,973,3731,1697,1105,838,621,230
DAL,1998,42,1102,403,66,140,206,86,33,25,62,91,351,157,101,74,46,15,601,15726,6618,887,2132,3020,1310,460,420,877,1277,5337,2483,1764,1358,787,292
DAL,1999,36,938,347,58,119,177,81,27,20,55,79,306,132,88,64,49,17,482,12163,4941,706,1707,2414,1128,344,273,717,1055,4038,1866,1218,930,744,278
DAL,2000,41,1078,427,50,124,174,93,29,20,62,106,369,165,96,74,60,22,516,13101,5513,620,1698,2319,1148,389,275,779,1238,4593,2106,1329,1035,732,265
DAL,2001,45,1203,494,53,140,193,126,35,32,64,112,413,185,118,93,81,29,525,14028,5987,531,1508,2040,1609,461,324,825,1243,4946,2260,1456,1140,906,325
DAL,2002,40,1057,448,52,133,185,106,28,27,54,91,368,167,104,82,81,30,461,12390,5092,515,1483,1998,1445,375,299,705,1048,4314,1932,1158,899,889,327
DAL,2003,44,1335,625,75,172,247,125,40,22,74,106,521,230,145,118,124,45,490,13481,6023,712,1873,2585,1234,432,325,792,1210,5109,2285,1466,1127,940,333
DEN,1985,42,1030,471,73,109,182,126,43,21,70,115,378,185,123,97,13,3,640,15104,6704,1061,1943,3005,1539,573,359,951,1650,5609,2679,1661,1305,147,40
DEN,1986,46,1182,580,83,124,208,139,52,25,83,128,477,227,155,121,16,4,648,15403,6865,1089,1984,3073,1611,602,368,991,1672,5750,2734,1740,1355,158,41
DEN,1987,36,881,428,57,100,158,98,34,17,55,94,359,167,112,89,17,4,596,14783,6853,997,1862,2859,1566,567,322,952,1539,5704,2697,1732,1365,306,93
DEN,1988,38,1006,508,63,121,184,120,37,18,61,99,422,200,125,100,23,6,654,16606,8088,1058,2107,3166,1844,631,354,1141,1717,6730,3218,1968,1560,307,91
