Team,Season,team_o_fgm,team_o_fga,team_o_ftm,team_o_fta,team_o_oreb,team_o_dreb,team_o_reb,team_o_asts,team_o_pf,team_o_stl,team_o_to,team_o_blk,team_o_3pm,team_o_pts,team_d_fgm,team_d_fga,team_d_ftm,team_d_fta,team_d_oreb,team_d_dreb,team_d_reb,team_d_asts,team_d_pf,team_d_stl,team_d_to,team_d_blk,team_d_3pm,team_d_pts,team_pace,prev_winrate,win_rate,Class
CHI,2001,2643,6295,1446,1999,979,2291,3271,1723,1905,660,1377,381,334,7066,2951,6363,1570,2136,978,2483,3462,1917,1859,744,1210,443,352,7825,91.3060495,0.19512195122,0.256097560976,2
CHI,2002,2766,6451,1411,1933,925,2309,3234,1813,1868,654,1183,370,314,7258,3007,6422,1583,2146,950,2552,3502,1999,1734,658,1149,412,383,7981,91.409275,0.219512195122,0.365853658537,3
CHI,2003,2901,6602,1434,1986,954,2450,3404,1799,1931,619,1249,411,324,7560,3009,6665,1677,2242,1030,2562,3593,2007,1755,725,1142,406,426,8121,93.892479,0.310975609756,0.280487804878,2
CHI,2004,2894,6733,1392,1924,1016,2530,3546,1787,1969,632,1289,427,389,7570,2936,6714,1733,2316,1064,2627,3691,1919,1739,731,1176,427,435,8041,94.8320695,0.323170731707,0.573170731707,5
CHA,1988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHA,1989,3426,7430,1580,2060,1138,2250,3338,2323,2068,705,1318,264,134,8566,3555,7113,2040,2629,1191,2621,3812,2061,1791,710,1425,441,115,9265,102.86638,0.243902439024,0.231707317073,2
CHA,1990,3348,7306,1533,2013,1050,2230,3255,2201,1978,741,1272,263,169,8399,3496,7017,1952,2504,1127,2672,3799,2063,1772,674,1400,412,123,9069,101.580625,0.237804878049,0.317073170732,3
CHA,1991,3278,7108,1606,2090,994,2205,3200,2049,1917,768,1258,283,168,8330,3423,6918,1874,2410,1107,2613,3725,2105,1797,656,1391,432,145,8865,100.051667,0.274390243902,0.378048780488,3
CHA,1992,3449,7300,1681,2191,1095,2283,3379,2151,1882,790,1281,306,124,8704,3562,7205,1772,2341,1202,2542,3749,2255,1795,648,1399,502,181,9079,102.034877,0.34756097561,0.536585365854,5
CHA,1993,3562,7389,1734,2271,1129,2437,3567,2222,1804,730,1299,391,146,9005,3675,7596,1604,2160,1301,2492,3793,2321,1836,610,1318,481,219,9175,103.481035,0.457317073171,0.5,5
CHA,1994,3447,7155,1731,2254,1057,2491,3548,2187,1768,681,1295,433,255,8881,3548,7528,1527,2058,1283,2435,3718,2196,1842,614,1252,434,275,8900,101.466275,0.518292682927,0.609756097561,6
CHA,1995,3216,6769,1609,2088,925,2435,3360,2143,1716,672,1245,396,448,8490,3275,7083,1441,1947,1159,2416,3575,2007,1810,582,1238,399,373,8365,96.856913,0.55487804878,0.5,5
CHA,1996,3079,6528,1609,2080,909,2325,3235,1989,1750,601,1232,338,572,8340,3171,6729,1407,1908,1027,2361,3389,1973,1844,535,1215,368,479,8229,93.817486,0.55487804878,0.658536585366,6
CHA,1997,3048,6480,1586,2051,948,2277,3225,1964,1758,589,1222,313,587,8269,3155,6650,1398,1907,1015,2307,3322,1916,1805,534,1179,351,508,8216,92.52895,0.579268292683,0.621951219512,6
CHA,1998,2978,6343,1591,2085,947,2319,3267,1981,1729,644,1225,330,468,8015,3016,6533,1396,1910,1021,2257,3278,1794,1841,557,1191,353,428,7857,91.155682,0.640243902439,0.52,5
CHA,1999,2319,5031,1337,1785,732,1917,2649,1525,1429,567,1021,279,307,6283,2358,5210,1197,1635,810,1875,2685,1449,1526,512,1001,302,290,6204,91.929966,0.570975609756,0.59756097561,5
CHA,2000,2303,5125,1448,1921,682,2064,2746,1566,1385,587,1001,363,303,6358,2393,5407,1153,1556,810,2020,2831,1497,1613,523,1029,326,311,6251,94.195179,0.558780487805,0.560975609756,5
CHA,2001,2867,6517,1731,2302,958,2621,3580,1961,1711,698,1165,467,339,7805,2907,6656,1395,1858,929,2493,3422,1825,1920,610,1221,398,399,7610,93.691658,0.579268292683,0.536585365854,5
CLE,1985,3416,7298,1743,2334,1208,2416,3624,2013,2189,626,1359,423,69,8644,3460,7172,1952,2547,1096,2428,3524,2178,2003,595,1290,412,60,8932,102.52745,0.390243902439,0.353658536585,3
CLE,1986,3474,7301,1807,2408,1144,2450,3594,2080,2220,624,1399,454,114,8869,3491,7327,2040,2656,1170,2472,3643,2168,2023,661,1344,396,78,9100,104.46497,0.396341463415,0.378048780488,3
CLE,1987,3413,7180,1763,2439,1171,2437,3609,1988,2060,649,1515,497,106,8697,3495,7340,1889,2483,1192,2445,3637,2089,2010,760,1364,421,90,8971,103.96611,0.365853658537,0.512195121951,5
CLE,1988,3331,6938,1796,2496,1136,2354,3490,1991,1844,702,1529,542,104,8562,3469,7271,1637,2126,1206,2325,3532,2022,2048,751,1418,464,111,8687,101.8282985,0.44512195122,0.69512195122,6
CLE,1989,3389,6829,1817,2438,1024,2382,3406,2165,1714,762,1381,556,148,8744,3384,7223,1484,1896,1186,2269,3455,2016,1995,688,1434,406,149,8402,100.1122235,0.603658536585,0.512195121951,5
CLE,1990,3340,6940,1729,2319,1080,2427,3508,2183,1629,718,1283,549,258,8667,3401,7240,1401,1823,1174,2367,3541,2090,1931,682,1361,371,164,8368,99.080184,0.603658536585,0.40243902439,4
CLE,1991,3236,6917,1651,2188,1069,2354,3424,2173,1669,644,1262,481,253,8377,3438,7126,1454,1907,1115,2424,3540,2143,1894,695,1260,386,159,8490,97.800835,0.457317073171,0.69512195122,6
CLE,1992,3343,6941,1742,2217,1026,2389,3415,2250,1614,629,1177,535,206,8634,3477,7276,1379,1799,1166,2387,3553,2153,1884,679,1188,405,178,8512,97.649498,0.548780487805,0.658536585366,6
CLE,1993,3426,6956,1759,2189,985,2473,3458,2304,1568,615,1096,578,268,8879,3433,7332,1314,1712,1175,2377,3553,2132,1851,629,1176,391,211,8391,97.4088325,0.676829268293,0.573170731707,5
CLE,1994,3279,6809,1717,2186,1009,2424,3434,2199,1640,660,1128,481,288,8564,3250,6985,1390,1854,1087,2357,3444,2057,1812,619,1248,413,243,8134,95.8034785,0.615853658537,0.524390243902,5
CLE,1995,2944,6493,1621,2118,1067,2295,3362,1860,1697,667,1156,387,346,7856,2967,6412,1405,1884,955,2290,3245,1909,1783,592,1253,447,327,7666,90.9735185,0.548780487805,0.573170731707,5
CLE,1996,2758,6126,1431,1878,956,2146,3102,1745,1689,652,1124,344,497,7445,2738,5935,1382,1822,862,2206,3069,1815,1718,530,1247,384,454,7313,86.0844495,0.548780487805,0.512195121951,5
CLE,1997,2732,5985,1318,1774,888,2107,2995,1766,1783,664,1130,327,539,7323,2581,5712,1493,1991,859,2176,3036,1732,1707,526,1306,343,486,7141,84.876659,0.542682926829,0.573170731707,5
CLE,1998,2760,6089,1467,1980,932,2245,3177,1804,1910,734,1303,367,390,7379,2588,5926,1614,2156,896,2207,3104,1718,1826,628,1387,402,400,7191,88.829063,0.542682926829,0.44,4
CLE,1999,2189,4884,1334,1771,713,1823,2537,1493,1573,633,1101,311,240,5953,2143,4939,1310,1745,769,1817,2586,1423,1551,549,1132,368,288,5884,90.5569685,0.506585365854,0.390243902439,3
CLE,2000,2269,5147,1334,1780,741,1907,2649,1516,1713,582,1106,283,262,6136,2290,5198,1414,1850,802,1995,2797,1499,1628,525,1104,391,328,6322,93.5133515,0.41512195122,0.365853658537,3
CLE,2001,2933,6633,1607,2122,1012,2469,3482,1824,2060,677,1362,399,281,7755,2955,6657,1742,2255,1001,2493,3494,1911,1934,676,1280,521,421,8073,95.764561,0.378048780488,0.353658536585,3
