Team,Season,team_o_fgm,team_o_fga,team_o_ftm,team_o_fta,team_o_oreb,team_o_dreb,team_o_reb,team_o_asts,team_o_pf,team_o_stl,team_o_to,team_o_blk,team_o_3pm,team_o_pts,team_d_fgm,team_d_fga,team_d_ftm,team_d_fta,team_d_oreb,team_d_dreb,team_d_reb,team_d_asts,team_d_pf,team_d_stl,team_d_to,team_d_blk,team_d_3pm,team_d_pts,team_pace,prev_winrate,player_season_gp,player_season_minutes,player_season_pts,player_season_dreb,player_season_oreb,player_season_reb,player_season_asts,player_season_stl,player_season_blk,player_season_turnover,player_season_pf,player_season_fga,player_season_fgm,player_season_fta,player_season_ftm,player_season_tpa,player_season_tpm,player_career_gp,player_career_minutes,player_career_pts,player_career_dreb,player_career_oreb,player_career_reb,player_career_asts,player_career_stl,player_career_blk,player_career_turnover,player_career_pf,player_career_fga,player_career_fgm,player_career_fta,player_career_ftm,player_career_tpa,player_career_tpm,coach_season_win_rate,coach_career_win_rate,win_rate,Class
BOS,1989,3559,7024,1843,2324,1054,2441,3495,2318,1840,629,1320,416,174,9136,3486,7221,1752,2271,1085,2208,3293,2092,1969,748,1183,366,121,8845,100.51885,0.603658536585,39,1082,514,66,134,200,122,33,24,72,91,399,200,134,108,20,6,709,19056,9279,1148,2709,3857,1972,642,535,1245,1656,7385,3690,2263,1800,325,97,0.494117647059,0.413427561837,0.634146341463,6
BOS,1990,3541,7145,1815,2251,1122,2574,3697,2306,1796,589,1296,436,92,8990,3456,7283,1714,2213,1047,2270,3317,2101,1897,749,1097,371,152,8779,100.426015,0.573170731707,34,846,422,60,123,183,79,22,22,55,78,326,165,109,88,12,3,581,14826,7102,949,2319,3269,1379,461,461,960,1366,5640,2824,1663,1317,404,136,0,0.461538461538,0.682926829268,6
BOS,1991,3629,7181,1718,2075,1077,2702,3779,2291,1706,605,1288,510,107,9084,3428,7471,1643,2108,1119,2261,3380,2065,1752,737,1065,368,181,8682,100.627635,0.658536585366,39,989,456,56,118,175,123,32,22,66,83,359,181,110,88,17,4,686,17338,7667,957,2359,3316,2029,605,424,1161,1555,6211,3042,1803,1408,527,174,0.663043478261,0.461538461538,0.621951219512,6
BOS,1992,3619,7205,1597,1957,1091,2640,3731,2116,1690,654,1242,524,109,8945,3371,7426,1620,2084,1185,2268,3453,1987,1647,709,1120,397,196,8558,99.695684,0.65243902439,39,966,435,66,116,183,84,30,22,57,90,352,177,99,77,9,2,625,15316,6697,982,2060,3042,1409,479,414,989,1488,5419,2685,1598,1206,376,120,0.637973352034,0.461538461538,0.585365853659,5
BOS,1993,3498,7144,1517,1914,1085,2509,3595,2035,1774,641,1169,471,110,8623,3277,7136,1675,2176,1136,2355,3491,1947,1655,658,1147,400,208,8438,97.7677115,0.603658536585,39,925,390,59,109,169,84,31,18,55,90,321,158,87,67,16,4,490,12163,5433,770,1640,2410,1101,417,302,808,1175,4399,2169,1312,968,377,126,0.591335333833,0.461538461538,0.390243902439,3
BOS,1994,3393,7075,1474,1957,1056,2408,3464,1963,1855,660,1208,449,124,8384,3294,7007,1711,2243,1112,2443,3555,2030,1707,663,1227,400,223,8523,97.887985,0.487804878049,53,1401,646,72,145,217,157,52,24,92,126,536,251,165,126,54,17,512,13993,6365,708,1438,2147,1502,520,222,927,1264,5305,2464,1586,1207,682,229,0.48000567215,0.461538461538,0.426829268293,4
BOS,1995,3256,6952,1585,2135,1096,2350,3446,1855,1912,643,1273,400,250,8347,3330,6927,1637,2221,1097,2421,3519,2044,1830,671,1252,434,303,8600,97.4748345,0.408536585366,53,1434,608,63,147,211,161,54,28,91,139,495,231,151,114,83,30,439,10807,4262,478,1172,1650,1154,385,234,692,1106,3549,1615,1077,784,686,246,0,0.292682926829,0.40243902439,4
BOS,1996,3171,6894,1669,2276,1103,2373,3476,1787,2008,632,1303,383,450,8461,3299,6838,1684,2295,1052,2462,3514,1957,1943,660,1273,471,395,8678,97.7007485,0.414634146341,50,1243,533,59,138,198,119,43,23,79,127,422,197,134,101,92,35,482,12021,5006,591,1455,2046,1151,430,261,803,1228,4182,1892,1259,918,858,304,0.40243902439,0.292682926829,0.182926829268,1
BOS,1997,3114,6954,1639,2241,1072,2307,3380,1792,1978,731,1322,360,503,8371,3330,6776,1696,2311,1022,2609,3631,2023,1896,693,1380,523,454,8811,98.760586,0.292682926829,43,1065,418,57,111,169,119,36,21,65,104,351,158,105,76,68,24,422,10404,4127,423,1095,1518,1146,385,171,635,942,3591,1561,953,709,819,294,0,0.465882352941,0.439024390244,4
BOS,1998,3039,6950,1537,2081,1145,2116,3261,1804,2059,898,1336,340,441,8056,3114,6338,1839,2506,1010,2537,3547,1978,1773,708,1567,481,396,8464,97.0344815,0.310975609756,50,1227,493,86,145,231,102,50,22,79,133,436,192,123,88,62,21,488,12094,4854,562,1478,2041,1180,429,191,731,1114,4223,1839,1145,845,917,329,0.439024390244,0.465882352941,0.38,3
BOS,1999,2414,5549,1085,1520,938,1751,2689,1444,1698,720,1068,310,344,6257,2294,4938,1585,2131,828,1995,2823,1422,1360,578,1264,329,237,6411,94.9351465,0.409512195122,47,1235,504,79,157,236,98,45,24,82,134,438,193,133,93,65,22,513,12997,5382,600,1629,2230,1271,467,209,826,1242,4578,2019,1387,1034,885,309,0.409512195122,0.465882352941,0.426829268293,4
BOS,2000,2435,5521,1183,1626,894,1939,2833,1407,1708,623,1033,271,345,6398,2342,5100,1523,2034,749,2039,2788,1408,1464,549,1117,365,267,6475,95.40934,0.403414634146,46,1058,411,54,121,176,99,42,17,68,107,357,154,112,81,63,20,470,11024,4292,474,1293,1768,1122,429,167,710,1033,3702,1586,1183,884,704,235,0.403414634146,0.500546810273,0.439024390244,4
BOS,2001,2913,6682,1621,2182,1002,2393,3396,1724,2087,781,1248,311,504,7952,2947,6348,1781,2370,872,2592,3464,1841,1915,644,1359,459,394,8071,95.2884255,0.432926829268,59,1514,653,75,182,258,133,61,26,97,155,559,242,172,127,118,41,529,13219,5458,591,1616,2208,1291,526,219,873,1298,4720,2028,1441,1058,1011,343,0.5,0.535211267606,0.59756097561,5
BOS,2002,2812,6608,1559,2075,894,2468,3362,1715,1863,781,1160,314,645,7830,2866,6485,1623,2134,921,2728,3649,1843,1818,636,1304,457,472,7827,94.251068,0.518292682927,41,954,398,51,116,168,73,33,19,58,92,337,144,108,80,81,28,479,11970,4792,665,1550,2216,955,411,223,741,1197,4040,1789,1360,985,693,228,0.545918367347,0.535211267606,0.536585365854,5
BOS,2003,2776,6620,1489,1977,870,2520,3390,1648,1766,756,1093,298,709,7750,2800,6514,1586,2087,945,2778,3723,1813,1765,620,1270,421,488,7675,93.4999885,0.567073170732,40,992,394,57,116,173,69,32,25,55,100,332,145,101,75,81,28,388,9364,3855,441,1168,1610,744,301,225,564,905,3184,1430,1024,749,677,245,0.556787932564,0.442605633803,0.439024390244,4
CHI,1985,3379,6940,1926,2517,1107,2333,3440,2043,2133,654,1520,461,24,8708,3511,7146,1868,2432,1131,2324,3455,2140,2075,727,1418,480,64,8955,102.52865,0.396341463415,46,1163,554,57,115,173,117,38,21,82,111,438,217,145,115,14,3,607,15494,7264,842,1948,2798,1542,557,291,1015,1472,5852,2838,1896,1491,316,97,0.51587602783,0.525889967638,0.365853658537,3
CHI,1986,3464,7068,1951,2512,1177,2322,3499,1999,2118,615,1449,434,58,8939,3561,7174,1927,2510,1120,2311,3431,2107,2021,666,1310,469,80,9129,102.22852,0.414634146341,40,859,341,55,98,153,94,35,13,58,94,275,134,93,69,11,2,582,13768,5718,824,1807,2631,1443,522,258,841,1364,4680,2261,1451,1119,244,74,0,0.528158295282,0.487804878049,4
CHI,1987,3429,7191,1838,2376,1264,2339,3603,2074,2044,643,1346,419,83,8779,3469,7024,1868,2441,1065,2339,3405,2099,1923,623,1283,491,92,8898,100.5397655,0.426829268293,39,949,400,55,110,166,109,33,19,63,93,326,157,107,82,12,3,719,19948,8538,1059,2689,3947,2291,768,441,1263,1759,6978,3398,2091,1592,477,149,0.470588235294,0.528158295282,0.609756097561,6
CHI,1988,3408,7085,1719,2237,1209,2429,3638,2146,1885,694,1260,456,67,8602,3306,6938,1702,2230,1025,2292,3317,2053,1862,590,1256,453,111,8426,98.342842,0.548780487805,41,1058,498,59,106,166,111,38,25,62,98,391,190,136,109,23,7,637,15678,7029,926,2046,2973,1595,574,355,944,1412,5632,2752,1781,1360,489,163,0.528772378517,0.528158295282,0.573170731707,5
CHI,1989,3441,6991,1670,2163,1094,2456,3550,2181,1852,717,1295,425,115,8667,3318,7032,1681,2197,1050,2284,3334,2089,1830,641,1249,381,150,8469,98.7727965,0.591463414634,35,893,435,59,100,159,95,37,18,58,91,331,167,120,93,23,7,656,16700,7665,917,2088,3006,1752,634,334,992,1455,6096,2995,1922,1468,594,206,0,0.72341954023,0.670731707317,6
